match_id,match_date,kickoff_time_local,matchday,season,stage,opponent,ohl_result,ohl_goals_ft,opponent_goals_ft,last_h2h_result,last_h2h_ohl_goals,last_h2h_opponent_goals,tickets_scanned,weather_score,weather_temp_deviation,weather_rain_mm,weather_windspeed_max_kmh,weather_sunshine_hours,has_snow,is_weekend,is_midweek,academic_week,is_public_holiday,is_school_holiday_flanders,has_promotion,promo_tickets_total,has_campaign,tickets_sold_total,pre_match_article_count,avg_ohl_interest_7d,home_win_rate_last3,home_win_rate_last5,ohl_season_points,opp_ppg_vs_ohl,rolling_avg_attendance_last3,opponent_grouped,matchday_normalized,last_h2h_goal_margin,ohl_points_per_game,pre_match_interest_ratio
d256yo3eng04m0fu7b4sl7wno,2022-07-30,18:15:00,2,2022/2023,Regular Season,Westerlo,W,2,0,,,,5565.0,0.09,0.9,0.0,10.2,10.3,False,True,False,48,False,True,False,0,False,5025,14.0,5.1657142857142855,,,3.0,1.5211267605633805,,Westerlo,0.058823529411764705,0.0,1.5,1.0
d4mn5ksbxuvnaww4pmommxhqs,2022-08-14,18:30:00,4,2022/2023,Regular Season,Club Brugge,L,0,3,L,1.0,4.0,7440.0,0.59,5.9,0.0,16.9,11.1,False,True,False,50,False,True,False,0,False,6263,48.0,7.812857142857143,1.0,1.0,6.0,1.5211267605633805,5565.0,Club Brugge,0.11764705882352941,-3.0,1.5,1.512444690265487
d65hmi7sq03yzr5he1k7ypus4,2022-08-27,18:15:00,6,2022/2023,Regular Season,KV Oostende,W,2,1,W,3.0,1.0,4489.0,-0.08,-0.8,0.0,13.7,3.9,False,True,False,52,False,True,False,0,False,5025,3.0,8.462857142857143,0.5,0.5,9.0,1.5211267605633805,6502.5,Other,0.17647058823529413,2.0,1.5,1.304127682993946
d80mkemezkz16bqh6lbn8tlhw,2022-09-10,20:45:00,8,2022/2023,Regular Season,Sporting Charleroi,W,3,2,W,3.0,0.0,4508.0,-3.64,-0.6,8.6,23.5,4.1,False,True,False,2,False,False,False,0,False,5438,8.0,7.291428571428571,0.6666666666666666,0.6666666666666666,13.0,1.5211267605633805,5831.333333333333,Sporting Charleroi,0.23529411764705882,3.0,1.625,1.0201878872676393
dak40etbhbqsr1nxyt50qcg0k,2022-10-01,16:00:00,10,2022/2023,Regular Season,Union Saint-Gilloise,L,0,3,L,1.0,4.0,6290.0,-3.83,1.1,9.8,34.5,8.5,False,True,False,5,False,False,False,0,False,5844,,2.788571428571429,0.6666666666666666,0.75,17.0,1.5211267605633805,5479.0,Union Saint-Gilloise,0.29411764705882354,-3.0,1.7,0.3882066325262269
dcl81t8chgq07o8rw8orj5no4,2022-10-15,20:45:00,12,2022/2023,Regular Season,Genk,L,0,1,W,2.0,1.0,7238.0,-1.71,1.0,2.7,24.1,3.4,False,True,False,7,False,False,False,0,False,6069,58.0,5.01,0.6666666666666666,0.6,20.0,1.5211267605633805,5095.666666666667,Genk,0.35294117647058826,1.0,1.6666666666666667,0.7946974847042828
dfui3aovgvfccasonp6w5ajh0,2022-10-30,18:30:00,15,2022/2023,Regular Season,Gent,D,1,1,L,0.0,5.0,7166.0,0.3,3.0,0.0,11.3,6.1,False,True,False,9,False,False,False,0,False,5842,45.0,3.6142857142857143,0.3333333333333333,0.4,21.0,1.5211267605633805,6012.0,Gent,0.4411764705882353,-5.0,1.4,0.5936180197090568
di0x0as1g324k0hoea1o5vvh0,2022-11-11,20:45:00,17,2022/2023,Regular Season,Seraing,W,5,0,D,1.0,1.0,5285.0,0.18,1.8,0.0,19.0,8.4,False,False,False,11,True,False,False,0,False,4688,16.0,4.342857142857143,0.0,0.4,22.0,1.5211267605633805,6898.0,Other,0.5,0.0,1.2941176470588236,0.7572414774749129
dkbsomyigazbberxvdmjq7wgk,2023-01-08,21:00:00,19,2022/2023,Regular Season,Kortrijk,L,2,3,W,2.0,0.0,3766.0,-1.08,5.2,2.0,25.6,6.5,False,True,False,19,False,True,True,111,False,5040,10.0,2.0628571428571427,0.3333333333333333,0.4,26.0,0.0,6563.0,Kortrijk,0.5588235294117647,2.0,1.368421052631579,0.3709459893391561
dmcif0n7veawzigj8cd5bm904,2023-01-17,18:30:00,21,2022/2023,Regular Season,Eupen,D,1,1,L,2.0,4.0,3537.0,-0.36,-3.6,0.0,23.0,8.0,False,False,True,20,False,False,False,0,False,4889,36.0,4.548571428571429,0.3333333333333333,0.2,29.0,3.0,5405.666666666667,Eupen,0.6176470588235294,-2.0,1.380952380952381,0.8793960596575218
dojq6igk3d5ol4c78rkm0ugb8,2023-01-28,18:15:00,23,2022/2023,Regular Season,Sint-Truiden,D,1,1,D,0.0,0.0,6399.0,-0.25,-2.5,0.0,11.5,2.3,False,True,False,22,False,False,False,0,False,6975,4.0,5.862857142857143,0.3333333333333333,0.2,30.0,1.0,4196.0,Sint-Truiden,0.6764705882352942,0.0,1.3043478260869565,1.1473301649426895
dqvzs325coup7j9iqyfcazmdw,2023-02-10,20:00:00,25,2022/2023,Regular Season,Cercle Brugge,D,0,0,L,1.0,2.0,4721.0,-0.23,-2.3,0.0,18.2,1.0,False,False,False,24,False,False,False,0,False,5657,12.0,3.9728571428571433,0.0,0.2,31.0,3.0,4567.333333333333,Cercle Brugge,0.7352941176470589,-1.0,1.24,0.767191653709184
dt091ishr3km0wuuhiatev9xw,2023-02-26,16:00:00,27,2022/2023,Regular Season,Antwerp,D,1,1,L,2.0,4.0,9331.0,-0.35,-5.5,0.0,25.8,10.0,False,True,False,26,False,False,False,0,False,5721,22.0,3.89,0.0,0.2,32.0,3.0,4885.666666666667,Antwerp,0.7941176470588235,-2.0,1.1851851851851851,0.7660532176767085
du1wib350joxeh5hdv9v8yihg,2023-03-04,18:15:00,28,2022/2023,Regular Season,Zulte Waregem,W,4,2,W,5.0,2.0,7785.0,-1.43,-3.7,0.2,14.6,1.3,False,True,False,27,False,True,True,110,False,5603,15.0,4.917142857142857,0.0,0.0,33.0,0.0,6817.0,Zulte Waregem,0.8235294117647058,3.0,1.1785714285714286,0.9860725461677466
dw8a4f7k9qt9iyxuuno9rvztg,2023-03-19,16:00:00,30,2022/2023,Regular Season,Anderlecht,L,0,2,D,2.0,2.0,10827.0,-1.03,1.5,0.6,16.9,8.7,False,True,False,29,False,False,False,0,False,6326,25.0,4.064285714285715,0.3333333333333333,0.2,39.0,1.0,7279.0,Anderlecht,0.8823529411764706,0.0,1.3,0.8158541581319132
dyrd81lg1d8eb5ptsbq1tg6j8,2023-04-08,16:00:00,32,2022/2023,Regular Season,Mechelen,W,4,1,D,0.0,0.0,8310.0,-1.31,-1.6,0.5,8.9,3.5,False,True,False,32,False,True,False,0,False,4937,8.0,11.377142857142855,0.3333333333333333,0.2,39.0,1.0,9314.333333333334,Mechelen,0.9411764705882353,0.0,1.21875,2.312203619471595
e0tuth9cc11wefswrzq1cjyms,2023-04-23,18:30:00,34,2022/2023,Regular Season,Standard Liège,W,3,2,W,3.0,1.0,10079.0,-2.54,0.8,5.4,35.2,5.3,False,True,False,34,False,False,False,0,False,5962,12.0,3.69,0.6666666666666666,0.4,45.0,0.0,8974.0,Standard Liège,1.0,2.0,1.3235294117647058,0.6930855791645004
3kewmr690bhoid47mku9wfgno,2023-08-05,20:45:00,2,2023/2024,Regular Season,RWDM,L,1,2,,,,7786.0,-3.98,-4.9,8.3,24.1,3.1,False,True,False,49,False,True,False,0,False,5988,11.0,6.098571428571428,0.6666666666666666,0.6,1.0,1.5211267605633805,9738.666666666666,Other,0.058823529411764705,0.0,0.5,1.0
3nrkjdhpc5zse1sdzt1onor2s,2023-08-18,20:45:00,4,2023/2024,Regular Season,Antwerp,D,1,1,D,1.0,1.0,8577.0,0.18,1.8,0.0,11.5,10.4,False,False,False,51,False,True,False,0,False,6652,20.0,6.3342857142857145,0.6666666666666666,0.6,1.0,2.0,8725.0,Antwerp,0.11764705882352941,0.0,0.25,1.0386507378777232
3rwouz4640n6ngfbwrwsqkp3o,2023-09-01,20:45:00,6,2023/2024,Regular Season,Kortrijk,W,3,0,L,2.0,3.0,9144.0,-3.89,1.1,11.1,15.8,6.0,False,False,False,1,False,False,True,809,False,7385,10.0,5.961428571428571,0.3333333333333333,0.4,2.0,1.5,8814.0,Kortrijk,0.17647058823529413,-1.0,0.3333333333333333,0.9589796621854533
3vk3btgbt7w7qy9hjp3f2934k,2023-09-17,18:30:00,7,2023/2024,Regular Season,Gent,D,1,1,L,0.0,2.0,9598.0,-1.02,4.0,1.4,12.9,6.1,False,True,False,3,False,False,False,0,False,6929,89.0,3.5671428571428576,0.3333333333333333,0.6,5.0,2.0,8502.333333333334,Gent,0.20588235294117646,-2.0,0.7142857142857143,0.581780055917987
3yp7glzujzj8nc07qp0sd0kr8,2023-09-30,18:15:00,9,2023/2024,Regular Season,Standard Liège,L,1,2,W,3.0,2.0,9211.0,-0.19,-1.9,0.0,10.8,10.1,False,True,False,5,False,False,False,0,False,6901,13.0,5.492857142857143,0.3333333333333333,0.4,9.0,0.0,9106.333333333334,Standard Liège,0.2647058823529412,1.0,1.0,1.0004553437845574
42wgdmxzlcn9w08umkea3hpg4,2023-10-22,19:15:00,11,2023/2024,Regular Season,Sint-Truiden,W,4,0,D,1.0,1.0,7784.0,-1.54,-0.6,1.6,31.1,7.2,False,True,False,8,False,False,False,0,False,7617,3.0,4.444285714285714,0.3333333333333333,0.2,9.0,1.0,9317.666666666666,Sint-Truiden,0.3235294117647059,0.0,0.8181818181818182,0.8093974399000936
4729fykixfyfwxlbno9zilq8k,2023-11-04,18:15:00,13,2023/2024,Regular Season,Westerlo,L,0,2,W,2.0,1.0,9240.0,-2.2,1.5,4.5,32.0,1.2,False,True,False,10,False,True,False,0,False,7955,24.0,10.46,0.3333333333333333,0.4,12.0,0.0,8864.333333333334,Westerlo,0.38235294117647056,1.0,0.9230769230769231,1.967486228671235
4bjgrdur7wdidfbs58xmjynf8,2023-11-26,16:00:00,15,2023/2024,Regular Season,Club Brugge,L,0,1,D,1.0,1.0,10546.0,-1.49,-3.4,0.5,18.9,0.0,False,True,False,13,False,False,False,0,False,8132,30.0,3.261428571428571,0.3333333333333333,0.4,12.0,2.0,8745.0,Club Brugge,0.4411764705882353,0.0,0.8,0.5389700178746079
4i4bz7rnjs44z8bt8bnftavbo,2023-12-16,16:00:00,18,2023/2024,Regular Season,Cercle Brugge,L,1,2,L,2.0,3.0,8038.0,0.1,1.0,0.0,19.9,2.0,False,True,False,16,False,False,True,37,True,7181,24.0,4.795714285714285,0.3333333333333333,0.2,13.0,2.3333333333333335,9190.0,Cercle Brugge,0.5294117647058824,-1.0,0.7222222222222222,0.8409845305943509
4mbxzkhlc9edsor1s0fjsxses,2023-12-26,16:00:00,20,2023/2024,Regular Season,Eupen,W,3,0,L,1.0,3.0,7863.0,-1.06,3.3,1.3,30.3,5.0,False,False,True,17,True,True,True,449,False,7217,7.0,3.6928571428571426,0.0,0.2,13.0,2.3333333333333335,9274.666666666666,Eupen,0.5882352941176471,-2.0,0.65,0.6592332322688503
4oobcluwuns3xnlhy5m9m7sic,2024-01-21,18:30:00,21,2023/2024,Regular Season,Anderlecht,D,1,1,L,1.0,5.0,10786.0,-1.2,-1.1,0.3,38.0,1.7,False,True,False,21,False,False,False,0,False,8274,40.0,5.014285714285714,0.3333333333333333,0.4,16.0,2.3333333333333335,8815.666666666666,Anderlecht,0.6176470588235294,-4.0,0.7619047619047619,0.9267082057239412
4s3or8i47or8p70amtotvjlec,2024-01-31,18:45:00,23,2023/2024,Regular Season,Genk,W,2,1,L,1.0,3.0,7846.0,-0.75,2.8,0.1,26.1,6.9,False,False,True,22,False,False,False,0,False,7231,77.0,8.824285714285713,0.3333333333333333,0.2,18.0,3.0,8895.666666666666,Genk,0.6764705882352942,-2.0,0.782608695652174,1.6417870777557626
4yqzx2kle0xh8c6mbzui5ydjo,2024-02-17,18:15:00,26,2023/2024,Regular Season,Sporting Charleroi,D,0,0,D,1.0,1.0,9228.0,-0.68,3.8,0.2,13.8,6.0,False,True,False,25,False,True,False,0,True,7776,10.0,6.467142857142858,0.6666666666666666,0.4,24.0,0.3333333333333333,8831.666666666666,Sporting Charleroi,0.7647058823529411,0.0,0.9230769230769231,1.1421483085591744
539hjt08589esprrqk8xj09as,2024-03-02,18:15:00,28,2023/2024,Regular Season,Union Saint-Gilloise,L,0,2,L,1.0,5.0,9789.0,-2.61,0.4,5.5,33.5,6.7,False,True,False,27,False,False,False,0,False,7939,,5.184285714285714,0.3333333333333333,0.4,26.0,3.0,9286.666666666666,Union Saint-Gilloise,0.8235294117647058,-4.0,0.9285714285714286,0.9056824726435015
57i6yyarvjpugxfcvu1v2fl04,2024-03-17,18:30:00,30,2023/2024,Regular Season,Mechelen,W,1,0,W,2.0,1.0,11069.0,-1.25,2.0,1.5,16.2,1.5,False,True,False,29,False,False,False,0,False,8194,44.0,6.435714285714285,0.3333333333333333,0.4,26.0,0.3333333333333333,8954.333333333334,Mechelen,0.8823529411764706,1.0,0.8666666666666667,1.131929862344981
98omfw1wagomo5aac4rpyhtlg,2024-03-30,18:15:00,1,2023/2024,Conference League Play-off Group,Mechelen,L,2,3,W,1.0,0.0,6701.0,-2.19,1.0,4.3,18.0,1.1,False,True,False,31,False,False,True,117,False,6305,16.0,1.7957142857142858,0.3333333333333333,0.4,29.0,0.25,10028.666666666666,Mechelen,0.029411764705882353,1.0,29.0,0.31308116365568545
9bied5x123qpk7tpdx9t2fml0,2024-04-14,19:15:00,3,2023/2024,Conference League Play-off Group,Gent,W,2,1,L,0.0,4.0,4936.0,-1.04,2.3,0.9,18.4,7.6,False,True,False,33,False,True,True,1,False,6280,54.0,2.6,0.3333333333333333,0.4,30.0,2.0,9186.333333333334,Gent,0.08823529411764706,-4.0,10.0,0.4736422634635091
